Date,Average AI Demand (MW)
2022-11-27,4254.914375
2022-11-28,4859.511770833334
2022-11-29,5012.111791666667
2022-11-30,4921.79509375
2022-12-01,4874.593229166667
2022-12-02,4862.139385416666
2022-12-03,4535.95321875
2022-12-04,4399.2964375
2022-12-05,4974.408802083333
2022-12-06,5164.944604166666
2022-12-07,5278.590364583333
2022-12-08,5344.6885
2022-12-09,5384.126947916667
2022-12-10,4986.9158125
2022-12-11,4876.517770833333
2022-12-12,5533.2411250000005
2022-12-13,5625.7595
2022-12-14,5626.468124999999
2022-12-15,5636.321270833333
2022-12-16,5501.487447916667
2022-12-17,4992.328322916667
2022-12-18,4759.7111770833335
2022-12-19,4990.060489583334
2022-12-20,5076.735458333334
2022-12-21,5036.139645833334
2022-12-22,4966.6839479166665
2022-12-23,4713.619645833333
2022-12-24,4371.534489583333
2022-12-25,4063.498895833334
2022-12-26,4079.314770833333
2022-12-27,4231.279125
2022-12-28,4386.58534375
2022-12-29,4439.891927083333
2022-12-30,4403.261447916667
2022-12-31,4393.047020833334
